"","species","report","mean","loHPDI","hiHDPI"
"1","Hare - Snowshoe",6,6.12376894,3.88851,8.04389
"2","Hare - Snowshoe",8,8.012791,5.4374,11.3095
"3","Hare - Snowshoe",2,2.06865334,1.32459,2.7595
"4","Pike - Northern",1,1.05200996,0.68314,1.38902
"5","Moose",1,1.032004164,0.724769,1.38096
"6","Ptarmigan - Willow",6,6.02184512,4.0016,7.88777
"7","Inconnu",4,4.1322853,2.75839,5.5706
"8","Burbot",2,2.04418154,1.37196,2.67461
"9","Pike - Northern",2,2.06088386,1.32679,2.71071
"10","Inconnu",3,3.11973736,2.06339,4.01158
"11","Inconnu",20,20.4436432,13.6597,27.0386
"12","Inconnu",15,15.24174604,9.1618,19.5912
"13","Inconnu",10,10.20895398,6.44702,12.8398
"14","Caribou - Bluenose",5,4.9256882,3.41913,6.46561
"15","Beaver",4,4.1229334,2.74901,5.55577
"16","Burbot",4,4.18632358,2.73786,5.60463
"17","Inconnu",2,2.08904284,1.38169,2.69039
"18","Ptarmigan - Willow",2,2.09184578,1.31244,2.6831
"19","Hare - Snowshoe",6,6.08067446,3.97983,7.92314
"20","Beaver",1,1.051208626,0.680747,1.33627
"21","Muskox",3,2.94195326,1.95212,3.92203
"22","Moose",1,1.041985212,0.713947,1.37363
"23","Ptarmigan - Willow",2,2.07706796,1.35672,2.74227
"24","Muskrat",4,4.16289576,2.80172,5.26035
"25","Hare - Snowshoe",8,8.04201908,5.02899,10.6584
"26","Inconnu",2,2.082851664,1.49239,2.82537
"27","Hare - Snowshoe",8,8.02029884,5.15196,10.07
"28","Hare - Snowshoe",10,10.06325398,6.33242,13.1134
"29","Muskrat",7,7.37427754,5.01435,9.93106
"30","Hare - Snowshoe",2,2.08720212,1.38279,2.82086
"31","Hare - Snowshoe",3,3.071329,1.9732,4.0603
"32","Hare - Snowshoe",4,4.10473328,2.68782,5.60525
"33","Hare - Snowshoe",6,6.05354658,4.17237,7.8925
"34","Hare - Snowshoe",5,5.14617856,3.52261,7.00575
"35","Ptarmigan - Willow",3,3.03381586,2.08656,4.01561
"36","Hare - Snowshoe",30,29.6926532,20.1266,38.9354
"37","Muskrat",7,7.2680938,4.41043,9.45227
"38","Muskrat",60,60.4725224,42.1115,82.6117
"39","Moose",1,1.03872222,0.673267,1.36801
"40","Muskox",3,2.9064788,1.83657,3.73855
"41","Hare - Snowshoe",5,5.12827008,3.20943,6.67247
"42","Hare - Snowshoe",4,4.04581196,2.39527,5.45013
"43","Hare - Snowshoe",3,3.08003932,2.02276,4.02603
"44","Hare - Snowshoe",60,58.2693544,39.2065,80.239
"45","Hare - Snowshoe",6,6.13582722,4.16034,8.35943
"46","Hare - Snowshoe",3,3.10075554,2.06149,4.28194
"47","Beaver",3,3.11486804,2.05741,4.08117
"48","Hare - Snowshoe",10,10.14740364,6.99764,13.5186
"49","Hare - Snowshoe",1,1.062603022,0.673369,1.36536
"50","Hare - Snowshoe",2,2.07852468,1.37932,2.76948
"51","Hare - Snowshoe",38,37.4645308,25.0943,49.6788
